Geo Point;Geo Shape;TYP
47.428796977,9.37636591433;"{""type"": ""Point"", ""coordinates"": [9.376365914330462, 47.42879697696935]}";Kandelaberleuchte
47.4342855525,9.38334041001;"{""type"": ""Point"", ""coordinates"": [9.383340410005237, 47.4342855525188]}";Kandelaberleuchte
47.4345533304,9.38642639827;"{""type"": ""Point"", ""coordinates"": [9.386426398265602, 47.43455333043055]}";Kandelaberleuchte
47.4087328572,9.36544525169;"{""type"": ""Point"", ""coordinates"": [9.365445251686584, 47.40873285718599]}";Kandelaberleuchte
47.4141468204,9.3626129575;"{""type"": ""Point"", ""coordinates"": [9.362612957504686, 47.41414682035313]}";Kandelaberleuchte
47.4145132174,9.36192603236;"{""type"": ""Point"", ""coordinates"": [9.361926032357026, 47.41451321739879]}";Kandelaberleuchte
47.4173762683,9.36511211004;"{""type"": ""Point"", ""coordinates"": [9.365112110037668, 47.417376268297325]}";Kandelaberleuchte
47.4112057566,9.3628655561;"{""type"": ""Point"", ""coordinates"": [9.362865556103362, 47.41120575658848]}";Kandelaberleuchte
47.409119621,9.36459285129;"{""type"": ""Point"", ""coordinates"": [9.364592851287089, 47.40911962097408]}";Kandelaberleuchte
47.4092348535,9.36411994597;"{""type"": ""Point"", ""coordinates"": [9.364119945972357, 47.40923485350313]}";Kandelaberleuchte
47.4093576326,9.36369564548;"{""type"": ""Point"", ""coordinates"": [9.363695645484475, 47.40935763262198]}";Kandelaberleuchte
47.4085931918,9.365085282;"{""type"": ""Point"", ""coordinates"": [9.365085282004967, 47.408593191847864]}";Kandelaberleuchte
47.4373212967,9.40640531195;"{""type"": ""Point"", ""coordinates"": [9.406405311953867, 47.437321296688715]}";Kandelaberleuchte
47.4375817215,9.40644650192;"{""type"": ""Point"", ""coordinates"": [9.406446501917937, 47.43758172152249]}";Beleuchtungsmast
47.4376694936,9.40621933496;"{""type"": ""Point"", ""coordinates"": [9.406219334958596, 47.43766949358932]}";Kandelaberleuchte
47.4381236304,9.40731154274;"{""type"": ""Point"", ""coordinates"": [9.407311542740358, 47.4381236304279]}";Kandelaberleuchte
47.4325301291,9.37244546357;"{""type"": ""Point"", ""coordinates"": [9.37244546357009, 47.432530129086594]}";Kandelaberleuchte
47.4331136521,9.37210511716;"{""type"": ""Point"", ""coordinates"": [9.37210511716445, 47.43311365207509]}";Kandelaberleuchte
47.4257095091,9.36737677318;"{""type"": ""Point"", ""coordinates"": [9.367376773176039, 47.42570950905761]}";Kandelaberleuchte
47.4261459199,9.36751896976;"{""type"": ""Point"", ""coordinates"": [9.36751896975666, 47.42614591993662]}";Kandelaberleuchte
47.4270471573,9.3682536089;"{""type"": ""Point"", ""coordinates"": [9.36825360889831, 47.42704715726647]}";Kandelaberleuchte
47.4274250883,9.3693449235;"{""type"": ""Point"", ""coordinates"": [9.369344923498963, 47.4274250882994]}";Kandelaberleuchte
47.4276207898,9.36918534666;"{""type"": ""Point"", ""coordinates"": [9.369185346659155, 47.427620789796485]}";Kandelaberleuchte
47.4281769843,9.37031160405;"{""type"": ""Point"", ""coordinates"": [9.370311604051151, 47.428176984269065]}";Kandelaberleuchte
47.4264266317,9.36927428838;"{""type"": ""Point"", ""coordinates"": [9.36927428838128, 47.42642663172617]}";Kandelaberleuchte
47.4262929099,9.3700939304;"{""type"": ""Point"", ""coordinates"": [9.370093930398259, 47.42629290991051]}";Kandelaberleuchte
47.4258622341,9.36991616521;"{""type"": ""Point"", ""coordinates"": [9.369916165209592, 47.42586223405092]}";Kandelaberleuchte
47.4355168192,9.37734851127;"{""type"": ""Point"", ""coordinates"": [9.377348511272713, 47.435516819181615]}";Kandelaberleuchte
47.4364182861,9.37873604669;"{""type"": ""Point"", ""coordinates"": [9.378736046687898, 47.43641828610195]}";Kandelaberleuchte
47.4358866909,9.37927468036;"{""type"": ""Point"", ""coordinates"": [9.379274680363812, 47.435886690943306]}";Kandelaberleuchte
47.4361168086,9.37941364311;"{""type"": ""Point"", ""coordinates"": [9.379413643110418, 47.4361168086439]}";Kandelaberleuchte
47.4378608989,9.38043081874;"{""type"": ""Point"", ""coordinates"": [9.380430818739558, 47.437860898882334]}";Kandelaberleuchte
47.4373078763,9.38139607199;"{""type"": ""Point"", ""coordinates"": [9.381396071986954, 47.43730787627863]}";Kandelaberleuchte
47.4402592955,9.37786362102;"{""type"": ""Point"", ""coordinates"": [9.37786362101744, 47.440259295463264]}";Kandelaberleuchte
47.4291000057,9.38095949983;"{""type"": ""Point"", ""coordinates"": [9.380959499831757, 47.429100005670975]}";Kandelaberleuchte
47.4275083209,9.37612676027;"{""type"": ""Point"", ""coordinates"": [9.376126760269317, 47.42750832093551]}";Kandelaberleuchte
47.4084477734,9.33707393578;"{""type"": ""Point"", ""coordinates"": [9.337073935781909, 47.40844777336647]}";Kandelaberleuchte
47.408738639,9.33717634815;"{""type"": ""Point"", ""coordinates"": [9.337176348148745, 47.40873863896541]}";Kandelaberleuchte
47.4076301358,9.3371150344;"{""type"": ""Point"", ""coordinates"": [9.337115034396527, 47.40763013575479]}";Kandelaberleuchte
47.4097624531,9.33625365717;"{""type"": ""Point"", ""coordinates"": [9.336253657171982, 47.409762453061134]}";Kandelaberleuchte
47.4096070974,9.33580712211;"{""type"": ""Point"", ""coordinates"": [9.335807122109015, 47.4096070973975]}";Kandelaberleuchte
47.4094425465,9.33533917631;"{""type"": ""Point"", ""coordinates"": [9.335339176310486, 47.40944254647922]}";Kandelaberleuchte
47.4347982976,9.39941151717;"{""type"": ""Point"", ""coordinates"": [9.399411517165376, 47.43479829757294]}";Kandelaberleuchte
47.4324490943,9.40073958765;"{""type"": ""Point"", ""coordinates"": [9.40073958765173, 47.43244909430259]}";Kandelaberleuchte
47.4410596016,9.38373906144;"{""type"": ""Point"", ""coordinates"": [9.38373906143852, 47.441059601606845]}";Kandelaberleuchte
47.4409332756,9.38432725567;"{""type"": ""Point"", ""coordinates"": [9.384327255666154, 47.4409332755573]}";Kandelaberleuchte
47.4073195927,9.3117763844;"{""type"": ""Point"", ""coordinates"": [9.311776384398938, 47.40731959265384]}";Kandelaberleuchte
47.4072364757,9.31098804075;"{""type"": ""Point"", ""coordinates"": [9.310988040748168, 47.407236475658415]}";Kandelaberleuchte
47.4071994518,9.31057290509;"{""type"": ""Point"", ""coordinates"": [9.310572905086492, 47.40719945176037]}";Kandelaberleuchte
47.4073711997,9.31055343217;"{""type"": ""Point"", ""coordinates"": [9.310553432166412, 47.40737119967396]}";Kandelaberleuchte
47.407577652,9.31214329452;"{""type"": ""Point"", ""coordinates"": [9.31214329452042, 47.40757765197769]}";Kandelaberleuchte
